Model,Serial Number,MAC,Device Name,,,,MAC address ,AP Name,CL 2017 Audit,,,MWC15SENT,
AIR-CAP3702i-E-K9,FCZ1802U1ND,B83861435CE4,AP1001,3702i,1,ap name,B83861435CE4,AP1001-3702i,,,1,1,40
AIR-CAP3702i-E-K9,FCZ1802U1MH,B8386148C5CC,AP1002,3702i,1,ap name,B8386148C5CC,AP1002-3702i,1,,1,1,
AIR-CAP3702i-E-K9,FCZ1802U1MG,B8386143687C,AP1003,3702i,1,ap name,B8386143687C,AP1003-3702i,1,,1,1,
AIR-CAP3702i-E-K9,FCZ1802P1NG,B83861436C6C,AP1004,3702i,1,ap name,B83861436C6C,AP1004-3702i,,,,,
AIR-CAP3702i-E-K9,FCZ1802P1N5,B838612D9CF0,AP1005,3702i,1,ap name,B838612D9CF0,AP1005-3702i,,,1,1,
AIR-CAP3702i-E-K9,FCZ1802U1MU,B838612D9C74,AP1006,3702i,1,ap name,B838612D9C74,AP1006-3702i,,duplicate???,1,1,
AIR-CAP3702i-E-K9,FCZ1802U1ME,B8386148C370,AP1007,3702i,1,ap name,B8386148C370,AP1007-3702i,,,1,1,
AIR-CAP3702i-E-K9,FCZ1802U1MV,B8386148C9C8,AP1008,3702i,1,ap name,B8386148C9C8,AP1008-3702i,1,,1,1,
AIR-CAP3702i-E-K9,FCZ1802U1NF,B838612D506C,AP1009,3702i,1,ap name,B838612D506C,AP1009-3702i,,,1,1,
AIR-CAP3702i-E-K9,FCZ1802U1NG,B838612D4250,AP1010,3702i,1,ap name,B838612D4250,AP1010-3702i,,,1,,
AIR-CAP3702i-E-K9,FCZ1802P1NK,B83861436C00,AP1011,3702i,1,ap name,B83861436C00,AP1011-3702i,1,,1,1,
AIR-CAP3702i-E-K9,FCZ1802P1NJ,B83861436C9C,AP1012,3702i,1,ap name,B83861436C9C,AP1012-3702i,1,,1,1,
AIR-CAP3702i-E-K9,FCZ1802P1N6,B8386148BC9C,AP1013,3702i,1,ap name,B8386148BC9C,AP1013-3702i,,,1,1,
AIR-CAP3702i-E-K9,FCZ1802U1N7,B83861435C5C,AP1014,3702i,1,ap name,B83861435C5C,AP1014-3702i,1,,1,1,
