Model,Serial Number,MAC,Device Name,,,,Mac address,AP Name,CL 2017 Audit
AIR-CAP3702P-E-K9,,,AP1600,3702p,,,,AP1600-3702p,
AIR-CAP3702P-E-K9,FCZ1926Y0CR,E865498A6750,AP1601,3702p,,,E865498A6750,AP1601-3702p,1
AIR-CAP3702P-E-K9,FCZ1926Y0CS,E86549775990,AP1602,3702p,,,E86549775990,AP1602-3702p,1
AIR-CAP3702P-E-K9,FCZ1926Y0EM,E86549912160,AP1603,3702p,,,E86549912160,AP1603-3702p,1
AIR-CAP3702P-E-K9,FCZ1926Y0EY,E86549775928,AP1604,3702p,,,E86549775928,AP1604-3702p,1
AIR-CAP3702P-E-K9,FCZ1926Y0CV,E86549775938,AP1605,3702p,,,E86549775938,AP1605-3702p,1
AIR-CAP3702P-E-K9,FCZ1926Y0CQ,E86549912108,AP1606,3702p,,,E86549912108,AP1606-3702p,1
AIR-CAP3702P-E-K9,FCZ1926Y0CP,E865498317D4,AP1607,3702p,,,E865498317D4,AP1607-3702p,1
AIR-CAP3702P-E-K9,FCZ1926Y0EZ,E865497759C0,AP1608,3702p,,,E865497759C0,AP1608-3702p,1
AIR-CAP3702P-E-K9,FCZ1926Y0E8,E86549775908,AP1609,3702p,,,E86549775908,AP1609-3702p,1
AIR-CAP3702P-E-K9,FCZ1926Y0E6,E86549912008,AP1610,3702p,,,E86549912008,AP1610-3702p,1
AIR-CAP3702P-E-K9,FCZ1926Y0F3,E8654983182C,AP1611,3702p,,,E8654983182C,AP1611-3702p,1
AIR-CAP3702P-E-K9,,,AP1612,3702p,,,,AP1612-3702p,
AIR-CAP3702P-E-K9,,,AP1613,3702p,,,,AP1613-3702p,
AIR-CAP3702P-E-K9,,,AP1614,3702p,,,,AP1614-3702p,
AIR-CAP3702P-E-K9,,,AP1615,3702p,,,,AP1615-3702p,
AIR-CAP3702P-E-K9,,,AP1616,3702p,,,,AP1616-3702p,
AIR-CAP3702P-E-K9,,,AP1617,3702p,,,,AP1617-3702p,
